20/wall,20/agent,20/ground,20/no_hit,20/distance,90/wall,90/agent,90/ground,90/no_hit,90/distance,160/wall,160/agent,160/ground,160/no_hit,160/distance,45/wall,45/agent,45/ground,45/no_hit,45/distance,135/wall,135/agent,135/ground,135/no_hit,135/distance,70/wall,70/agent,70/ground,70/no_hit,70/distance,110/wall,110/agent,110/ground,110/no_hit,110/distance,25/wall,25/agent,25/ground,25/no_hit,25/distance,95/wall,95/agent,95/ground,95/no_hit,95/distance,165/wall,165/agent,165/ground,165/no_hit,165/distance,50/wall,50/agent,50/ground,50/no_hit,50/distance,140/wall,140/agent,140/ground,140/no_hit,140/distance,75/wall,75/agent,75/ground,75/no_hit,75/distance,115/wall,115/agent,115/ground,115/no_hit,115/distance,15/wall,15/agent,15/ground,15/no_hit,15/distance,85/wall,85/agent,85/ground,85/no_hit,85/distance,155/wall,155/agent,155/ground,155/no_hit,155/distance,40/wall,40/agent,40/ground,40/no_hit,40/distance,130/wall,130/agent,130/ground,130/no_hit,130/distance,65/wall,65/agent,65/ground,65/no_hit,65/distance,105/wall,105/agent,105/ground,105/no_hit,105/distance,vel_x,vel_y,vel_z
1.0,0.0,0.0,0.0,0.2336070111111111,1.1102230246251565e-16,-6.938893903907228e-18,0.0,1.0,-5.551115123125783e-17,1.0,-2.168404344971009e-19,0.0,0.0,0.0773954011111111,0.6666666666666667,0.0,0.0,0.3333333333333333,0.5771057111111111,1.0,0.0,0.0,-2.7755575615628914e-17,0.08262842111111107,0.6666666666666667,8.673617379884035e-19,0.0,0.33333333333333326,0.5020992111111111,1.0,3.469446951953614e-18,0.0,0.0,0.11093431555555555,0.6666666666666667,0.0,0.33333333333333337,0.0,0.2914173555555556,0.4444444444444444,-6.938893903907228e-18,0.5555555555555556,0.0,0.3682591777777778,1.0,-2.168404344971009e-19,1.1102230246251565e-16,0.0,0.07828121555555556,1.1102230246251565e-16,-4.336808689942018e-19,1.0000000000000002,0.0,0.5656219444444445,1.0,-4.336808689942018e-19,-5.551115123125783e-17,0.0,0.0803632411111111,0.0,0.0,1.0,0.0,0.5656233333333334,1.0,0.0,0.0,0.0,0.1022591444444445,0.8888888888888888,0.0,0.1111111111111111,0.0,0.14272505555555554,0.0,0.0,1.0,0.0,0.2184943888888889,1.0000000000000002,0.0,1.1102230246251565e-16,0.0,0.07780588666666666,5.551115123125783e-17,-2.168404344971009e-19,1.0,0.0,0.21668810000000002,1.0000000000000002,0.0,0.0,0.0,0.08647876666666666,-2.7755575615628914e-17,-4.336808689942018e-19,1.0,0.0,0.22263233333333335,0.9999999999999999,0.0,1.1102230246251565e-16,0.0,0.12337255888888889,1.633781666666667,0.0,-3.650432111111111
1.0,-2.168404344971009e-19,0.0,0.0,0.6041374176470589,1.0,6.938893903907228e-18,0.0,-5.551115123125783e-17,0.5583294705882353,0.9999999999999999,0.0,0.0,0.0,0.2475834,0.9411764705882353,0.0,0.0,0.05882352941176469,0.4609909882352941,0.9999999999999999,0.0,0.0,5.551115123125783e-17,0.45252905294117646,1.0,1.734723475976807e-18,0.0,-5.551115123125783e-17,0.7000306764705883,1.0,-3.469446951953614e-18,0.0,0.0,0.6117044588235294,0.17647058823529427,-2.168404344971009e-19,0.8235294117647057,0.0,0.5174917058823529,1.0000000000000002,-6.938893903907228e-18,2.220446049250313e-16,0.0,0.4576735,0.9999999999999999,0.0,1.6653345369377348e-16,0.0,0.2803617823529412,0.6470588235294117,0.0,0.3529411764705882,0.0,0.4830190470588235,1.0,-4.336808689942018e-19,0.0,0.0,0.3502179941176471,1.6653345369377348e-16,0.0,1.0000000000000002,0.0,0.5657008176470588,1.1102230246251565e-16,-3.469446951953614e-18,0.9999999999999998,0.0,0.5657032352941177,0.17647058823529427,2.168404344971009e-19,0.8235294117647057,0.0,0.21607383529411767,5.551115123125783e-17,6.938893903907228e-18,1.0,0.0,0.2249839117647059,-5.551115123125783e-17,-1.0842021724855044e-19,1.0,0.0,0.22775814705882352,0.058823529411764774,0.0,0.9411764705882352,0.0,0.2255736117647059,-5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.22775800588235295,-5.551115123125783e-17,-4.336808689942018e-19,1.0,0.0,0.21818468235294117,5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.22775755294117644,-3.9303831764705874,0.0,0.6588010117647058
0.9375,-2.168404344971009e-19,0.0,0.0625,0.36589130000000003,1.0,6.938893903907228e-18,0.0,-5.551115123125783e-17,0.43516231250000004,0.9999999999999999,0.0,0.0,0.0,0.7709865874999999,0.9375,0.0,0.0,0.06249999999999999,0.318936475,0.43749999999999994,0.0,0.0,0.5625,0.31878155625,1.0,1.734723475976807e-18,0.0,-5.551115123125783e-17,0.327990275,0.5625,0.06250000000000003,0.0,0.375,0.2971722,0.8125,-2.168404344971009e-19,0.18749999999999997,0.0,0.38315026875,1.0000000000000002,-6.938893903907228e-18,2.220446049250313e-16,0.0,0.39094575,0.0,0.0,1.0,0.0,0.5619465375,0.9375,0.0,0.062499999999999944,0.0,0.35046706875,1.1102230246251565e-16,-4.336808689942018e-19,1.0,0.0,0.5586174187499999,1.0000000000000002,0.0,1.1102230246251565e-16,0.0,0.33482846875,1.1102230246251565e-16,-3.469446951953614e-18,0.9999999999999998,0.0,0.57074864375,0.06250000000000011,2.168404344971009e-19,0.9374999999999998,0.0,0.22259291250000002,0.06250000000000006,6.938893903907228e-18,0.9375,0.0,0.22799236875,-5.551115123125783e-17,-1.0842021724855044e-19,1.0,0.0,0.22592998749999998,0.18750000000000003,0.0,0.8125,0.0,0.21806971249999998,-5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.22988794375,0.062499999999999986,0.0,0.9375,0.0,0.22392785625,5.551115123125783e-17,0.0625,0.9375,0.0,0.2213994625,1.3877787807814457e-17,0.0,-2.7755575615628914e-17
1.0,-2.168404344971009e-19,0.0,0.0,0.28016269285714285,0.0,0.0,0.0,1.0,0.0,0.14285714285714302,-2.168404344971009e-19,0.0,0.857142857142857,0.13209319999999994,1.0,0.0,0.0,-1.3877787807814457e-17,0.5147213928571428,0.6428571428571428,0.0,0.0,0.3571428571428572,0.45014097142857146,0.0,1.734723475976807e-18,0.0,1.0000000000000002,1.1102230246251565e-16,1.0,0.0,0.0,0.0,0.7194529785714285,0.642857142857143,-2.168404344971009e-19,0.3571428571428572,0.0,0.36559794285714287,1.1102230246251565e-16,-6.938893903907228e-18,1.0000000000000002,0.0,0.5528441928571428,-1.1102230246251565e-16,-2.168404344971009e-19,1.0,0.0,0.5783529285714286,0.8571428571428571,-4.336808689942018e-19,0.14285714285714282,0.0,0.41389957857142856,1.1102230246251565e-16,-4.336808689942018e-19,1.0,0.0,0.5654661285714286,1.1102230246251565e-16,0.0,1.0000000000000002,0.0,0.5830589071428571,1.1102230246251565e-16,-3.469446951953614e-18,0.9999999999999998,0.0,0.5636304857142858,0.5,1.0842021724855044e-19,0.5,0.0,0.21788111428571427,5.551115123125783e-17,3.469446951953614e-18,1.0,0.0,0.2347487,-5.551115123125783e-17,-1.0842021724855044e-19,1.0,0.0,0.23474360714285714,0.2857142857142857,-2.168404344971009e-19,0.7142857142857143,0.0,0.22224110714285714,-5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.23148767142857143,-5.551115123125783e-17,0.0,1.0,0.0,0.23476013571428572,2.7755575615628914e-17,0.0,0.9999999999999999,0.0,0.22992050714285714,3.544582642857144,0.0,-1.828101785714286
1.0,0.0,0.0,0.0,0.24775530555555556,1.0,1.3877787807814457e-17,0.0,-5.551115123125783e-17,0.7612534444444445,0.9999999999999999,2.168404344971009e-19,0.0,0.0,0.3662721277777778,1.0,0.0,0.0,-6.938893903907228e-18,0.7288205722222222,0.9999999999999999,0.0,0.0,5.551115123125783e-17,0.18319005,1.0,1.734723475976807e-18,0.0,-5.551115123125783e-17,0.7622751166666667,1.0,-6.938893903907228e-18,0.0,0.0,0.1819227,0.888888888888889,0.0,0.1111111111111111,0.0,0.32305049444444445,0.4444444444444444,-6.938893903907228e-18,0.5555555555555556,0.0,0.40519853333333333,0.9999999999999999,2.168404344971009e-19,1.6653345369377348e-16,0.0,0.30773153333333336,0.11111111111111127,4.336808689942018e-19,0.8888888888888888,0.0,0.5741292944444445,0.6666666666666667,-4.336808689942018e-19,0.33333333333333337,0.0,0.31128643333333333,0.11111111111111133,0.0,0.8888888888888891,0.0,0.5668134333333333,1.0,-1.734723475976807e-18,-5.551115123125783e-17,0.0,0.17950158888888887,0.7222222222222222,3.2526065174565133e-19,0.2777777777777777,0.0,0.16718925,5.551115123125783e-17,1.0408340855860843e-17,1.0,0.0,0.22175066666666668,0.0555555555555555,0.0,0.9444444444444444,0.0,0.22825217222222222,5.551115123125783e-17,2.168404344971009e-19,0.9999999999999999,0.0,0.23171412777777778,1.0000000000000002,-8.673617379884035e-19,0.0,0.0,0.1813496,-5.551115123125783e-17,-4.336808689942018e-19,1.0,0.0,0.23171599999999998,0.9999999999999999,0.0,2.220446049250313e-16,0.0,0.1875828888888889,-2.1258023333333327,0.0,-3.3555164444444445
1.0,4.336808689942018e-19,0.0,0.0,0.135726643125,1.0,-1.3877787807814457e-17,0.0,-1.1102230246251565e-16,0.648663890625,1.0,0.0,0.0,-1.6653345369377348e-16,0.66967081875,1.0,0.0,0.0,-1.3877787807814457e-17,0.23216466250000004,0.9999999999999999,0.0,0.0,1.1102230246251565e-16,0.654038540625,1.0,1.734723475976807e-18,0.0,2.7755575615628914e-17,0.5960996696875001,0.9999999999999999,6.938893903907228e-18,0.0,5.551115123125783e-17,0.6343509625,1.0000000000000002,4.336808689942018e-19,1.1102230246251565e-16,0.0,0.13991020843750002,2.7755575615628914e-16,2.0816681711721685e-17,1.0000000000000004,0.0,0.554201896875,0.06250000000000022,0.0,0.9374999999999997,0.0,0.5561522187500001,0.8125,0.0,0.18750000000000003,0.0,0.25173297031249997,0.06250000000000017,0.0,0.9375000000000004,0.0,0.53214229375,0.34374999999999994,0.0,0.65625,0.0,0.5317830503125,0.09375000000000022,-5.204170427930421e-18,0.9062500000000001,0.0,0.544643809375,1.0,4.336808689942018e-19,1.1102230246251565e-16,0.0,0.1340977909375,8.326672684688674e-17,1.3877787807814457e-17,1.0,0.0,0.2277581,8.326672684688674e-17,2.168404344971009e-19,1.0,0.0,0.226606384375,1.0,0.0,3.3306690738754696e-16,0.0,0.16326184656249998,1.1102230246251565e-16,-1.734723475976807e-18,0.9999999999999999,0.0,0.211342653125,0.031249999999999972,0.0,0.96875,0.0,0.2189898075,0.0,0.0,1.0,0.0,0.2277582125,0.22628083750000003,0.0,3.959996875
1.0,0.0,0.0,0.0,0.4850639555555556,-2.220446049250313e-16,1.3877787807814457e-17,0.0,1.0000000000000002,1.1102230246251565e-16,0.2777777777777778,2.168404344971009e-19,0.0,0.7222222222222221,0.08790419444444442,1.0,0.0,0.0,-6.938893903907228e-18,0.43933659444444445,0.9999999999999999,0.0,0.0,5.551115123125783e-17,0.7888119333333332,0.0,1.734723475976807e-18,0.0,1.0000000000000002,1.6653345369377348e-16,1.0,-6.938893903907228e-18,0.0,0.0,0.7001404277777776,1.0,0.0,5.551115123125783e-17,0.0,0.4214089277777778,1.6653345369377348e-16,-6.938893903907228e-18,1.0000000000000002,0.0,0.5500019833333333,0.6666666666666667,2.168404344971009e-19,0.3333333333333335,0.0,0.43222879444444445,1.0,4.336808689942018e-19,5.551115123125783e-17,0.0,0.4331011833333333,1.1102230246251565e-16,-4.336808689942018e-19,1.0000000000000002,0.0,0.5620483,1.6653345369377348e-16,0.0,1.0,0.0,0.5657064333333334,1.1102230246251565e-16,-1.734723475976807e-18,1.0,0.0,0.5615016333333334,1.1102230246251565e-16,3.2526065174565133e-19,0.9999999999999999,0.0,0.22775805000000002,5.551115123125783e-17,1.0408340855860843e-17,1.0,0.0,0.22118364999999998,-5.551115123125783e-17,0.0,1.0,0.0,0.22628385555555558,5.551115123125783e-17,2.168404344971009e-19,0.9999999999999999,0.0,0.22337269444444444,-5.551115123125783e-17,-8.673617379884035e-19,0.9999999999999999,0.0,0.22739547222222223,-5.551115123125783e-17,-4.336808689942018e-19,1.0,0.0,0.22003658333333334,8.326672684688674e-17,0.0,0.9999999999999999,0.0,0.22776393333333333,-3.3607972777777775,0.0,-2.164046055555555
1.0,-2.168404344971009e-19,0.0,0.0,0.22483471312499997,1.0,6.938893903907228e-18,0.0,-5.551115123125783e-17,0.36397426875,0.9999999999999999,0.0,0.0,0.0,0.5345676749999999,1.0,0.0,0.0,-1.3877787807814457e-17,0.61010395,0.9999999999999999,0.0,0.0,5.551115123125783e-17,0.7397528,1.0,1.734723475976807e-18,0.0,-5.551115123125783e-17,0.79990741875,1.0,-3.469446951953614e-18,0.0,0.0,0.55944618125,0.5625,-2.168404344971009e-19,0.4375,0.0,0.32061866875,1.0000000000000002,-6.938893903907228e-18,2.220446049250313e-16,0.0,0.36575914374999996,0.75,0.0,0.25,0.0,0.5386884875,2.220446049250313e-16,0.0,1.0,0.0,0.5657011000000001,1.1102230246251565e-16,-4.336808689942018e-19,1.0,0.0,0.5657009187500001,0.3125,0.0,0.6875,0.0,0.5159606250000001,0.18750000000000017,-3.469446951953614e-18,0.8124999999999998,0.0,0.5280111187500001,0.9375000000000001,2.168404344971009e-19,0.06249999999999983,0.0,0.124855875,5.551115123125783e-17,6.938893903907228e-18,1.0,0.0,0.227769825,-5.551115123125783e-17,-1.0842021724855044e-19,1.0,0.0,0.22033219375,5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.22161487500000002,-5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.22386609375,-5.551115123125783e-17,0.0,1.0,0.0,0.2277610125,5.551115123125783e-17,0.0,0.9999999999999999,0.0,0.2277580875,3.9768398124999993,0.0,-0.18698573749999994
1.0,0.0,0.0,0.0,0.43570311052631583,1.0,1.3877787807814457e-17,0.0,-5.551115123125783e-17,0.26577914736842106,0.9999999999999999,2.168404344971009e-19,0.0,2.7755575615628914e-17,0.2668390947368421,1.0,0.0,0.0,-6.938893903907228e-18,0.43284353684210525,0.9999999999999999,0.0,0.0,8.326672684688674e-17,0.2323693,1.0,1.734723475976807e-18,0.0,-5.551115123125783e-17,0.3259122842105263,1.0,-6.938893903907228e-18,0.0,0.0,0.19211557894736842,1.0,0.0,5.551115123125783e-17,0.0,0.45379506842105266,1.0000000000000002,-6.938893903907228e-18,2.220446049250313e-16,0.0,0.2026443578947368,0.9999999999999999,2.168404344971009e-19,1.6653345369377348e-16,0.0,0.2650443052631579,0.9473684210526316,4.336808689942018e-19,0.05263157894736842,0.0,0.42284374210526315,0.9473684210526316,-4.336808689942018e-19,0.05263157894736842,0.0,0.24310034736842107,1.0000000000000002,0.0,1.1102230246251565e-16,0.0,0.3183635684210526,1.0000000000000002,-3.469446951953614e-18,-5.551115123125783e-17,0.0,0.20202469473684218,1.6653345369377348e-16,3.2526065174565133e-19,1.0,0.0,0.22801148947368421,0.05263157894736843,1.0408340855860843e-17,0.9473684210526316,0.0,0.22818531578947368,0.7894736842105264,0.0,0.21052631578947378,0.0,0.20920323684210526,0.21052631578947373,2.168404344971009e-19,0.7894736842105263,0.0,0.22654624210526317,0.736842105263158,-8.673617379884035e-19,0.26315789473684204,0.0,0.17171133157894736,-5.551115123125783e-17,-4.336808689942018e-19,1.0,0.0,0.2254033,0.8421052631578947,0.0,0.15789473684210542,0.0,0.17875635263157896,2.7923133157894733,0.0385849105263158,2.737712842105263
1.0,4.336808689942018e-19,0.0,0.0,0.4243305548387097,1.0,-1.3877787807814457e-17,0.0,-1.1102230246251565e-16,0.3928953161290323,1.0,0.0,0.0,-1.6653345369377348e-16,0.240998564516129,1.0,0.0,0.0,-1.3877787807814457e-17,0.49052430967741933,0.9999999999999999,0.0,0.0,1.1102230246251565e-16,0.18220177806451615,1.0,1.734723475976807e-18,0.0,2.7755575615628914e-17,0.460010435483871,0.9999999999999999,6.938893903907228e-18,0.0,5.551115123125783e-17,0.3281624870967742,0.7096774193548389,4.336808689942018e-19,0.29032258064516137,0.0,0.41249274838709676,0.9032258064516131,2.0816681711721685e-17,0.09677419354838734,0.0,0.355719835483871,0.9032258064516129,0.0,0.09677419354838707,0.0,0.2980792893548387,0.7096774193548387,0.0,0.2903225806451613,0.0,0.46663905483870965,1.0000000000000002,0.0,-3.885780586188048e-16,0.0,0.20974349580645157,0.9354838709677422,0.0,0.06451612903225823,0.0,0.4131650483870968,1.0000000000000002,-5.204170427930421e-18,2.220446049250313e-16,0.0,0.28103607096774197,0.06451612903225828,4.336808689942018e-19,0.9354838709677422,0.0,0.2235270387096774,0.09677419354838714,1.3877787807814457e-17,0.9032258064516129,0.0,0.22185987096774193,0.709677419354839,2.168404344971009e-19,0.2903225806451615,0.0,0.1673781783870968,5.551115123125783e-17,0.0,0.9999999999999998,0.0,0.22751960967741935,0.9999999999999997,-1.734723475976807e-18,0.0,0.0,0.16332593258064518,-5.551115123125783e-17,0.0,1.0,0.0,0.22689465161290323,0.0,0.0,1.0,0.0,0.22886213870967742,-2.7755575615628914e-17,0.0,-8.326672684688674e-17
