20/wall, 20/agent, 20/ground, 20/no_hit, 20/distance, 90/wall, 90/agent, 90/ground, 90/no_hit, 90/distance, 160/wall, 160/agent, 160/ground, 160/no_hit, 160/distance, 45/wall, 45/agent, 45/ground, 45/no_hit, 45/distance, 135/wall, 135/agent, 135/ground, 135/no_hit, 135/distance, 70/wall, 70/agent, 70/ground, 70/no_hit, 70/distance, 110/wall, 110/agent, 110/ground, 110/no_hit, 110/distance, 25/wall, 25/agent, 25/ground, 25/no_hit, 25/distance, 95/wall, 95/agent, 95/ground, 95/no_hit, 95/distance, 165/wall, 165/agent, 165/ground, 165/no_hit, 165/distance, 50/wall, 50/agent, 50/ground, 50/no_hit, 50/distance, 140/wall, 140/agent, 140/ground, 140/no_hit, 140/distance, 75/wall, 75/agent, 75/ground, 75/no_hit, 75/distance, 115/wall, 115/agent, 115/ground, 115/no_hit, 115/distance, 15/wall, 15/agent, 15/ground, 15/no_hit, 15/distance, 85/wall, 85/agent, 85/ground, 85/no_hit, 85/distance, 155/wall, 155/agent, 155/ground, 155/no_hit, 155/distance, 40/wall, 40/agent, 40/ground, 40/no_hit, 40/distance, 130/wall, 130/agent, 130/ground, 130/no_hit, 130/distance, 65/wall, 65/agent, 65/ground, 65/no_hit, 65/distance, 105/wall, 105/agent, 105/ground, 105/no_hit, 105/distance,vel_x,vel_y,vel_z,action
1, 0, 0, 0, 0.1750111, 0, 1, 0, 0, 0.5014671, 1, 0, 0, 0, 0.4862579, 1, 0, 0, 0, 0.1466301, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.2260412, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4500909, 0, 0, 1, 0, 0.5656193, 1, 0, 0, 0, 0.4310496, 1, 0, 0, 0, 0.2487442, 0, 0, 1, 0, 0.5656236, 1, 0, 0, 0, 0.2295966, 1, 0, 0, 0, 0.4951381,1, 0, 0, 0, 0.1709553, 0, 0, 1, 0, 0.2277226, 0, 0, 1, 0, 0.2277257, 1, 0, 0, 0, 0.1455542, 0, 0, 1, 0, 0.2277261, 1, 0, 0, 0, 0.2032612, 0, 0, 1, 0, 0.227726,0,0,0,1
1, 0, 0, 0, 0.2322272, 0, 1, 0, 0, 0.4914676, 1, 0, 0, 0, 0.5116919, 1, 0, 0, 0, 0.4645156, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.2197236, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4453839, 0, 0, 1, 0, 0.5656194, 0, 0, 1, 0, 0.5656222, 1, 0, 0, 0, 0.2251428, 0, 0, 1, 0, 0.5656236, 1, 0, 0, 0, 0.223345, 1, 0, 0, 0, 0.4862869,1, 0, 0, 0, 0.1684925, 0, 0, 1, 0, 0.2248462, 0, 0, 1, 0, 0.2277257, 1, 0, 0, 0, 0.1389228, 0, 0, 1, 0, 0.2277258, 1, 0, 0, 0, 0.1920239, 0, 0, 1, 0, 0.227726,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.4438433, 0, 1, 0, 0, 0.4814675, 1, 0, 0, 0, 0.5354437, 1, 0, 0, 0, 0.2579144, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.213406, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4406768, 0, 0, 1, 0, 0.5656194, 1, 0, 0, 0, 0.4558662, 1, 0, 0, 0, 0.2015415, 0, 0, 1, 0, 0.5656236, 1, 0, 0, 0, 0.2328284, 1, 0, 0, 0, 0.4774358,1, 0, 0, 0, 0.1844856, 0, 0, 1, 0, 0.2181886, 0, 0, 1, 0, 0.2277257, 1, 0, 0, 0, 0.1362986, 0, 0, 1, 0, 0.2277258, 1, 0, 0, 0, 0.1824698, 0, 0, 1, 0, 0.227726,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.4391024, 0, 1, 0, 0, 0.4714675, 1, 0, 0, 0, 0.541862, 1, 0, 0, 0, 0.2277117, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.2070883, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4359697, 0, 0, 1, 0, 0.5656194, 1, 0, 0, 0, 0.4500003, 1, 0, 0, 0, 0.1781569, 0, 0, 1, 0, 0.5656236, 1, 0, 0, 0, 0.2259358, 1, 0, 0, 0, 0.4685847,1, 0, 0, 0, 0.2239171, 0, 0, 1, 0, 0.211592, 0, 0, 1, 0, 0.2277253, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1744126, 0, 0, 1, 0, 0.227726,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.4343616, 0, 1, 0, 0, 0.4614671, 1, 0, 0, 0, 0.5535966, 1, 0, 0, 0, 0.197509, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.2007708, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.1236042, 0, 0, 1, 0, 0.5656195, 1, 0, 0, 0, 0.4520805, 1, 0, 0, 0, 0.1648087, 0, 0, 1, 0, 0.5656236, 1, 0, 0, 0, 0.2190433, 1, 0, 0, 0, 0.4602868,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2056782, 0, 0, 1, 0, 0.2277253, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1680989, 0, 0, 1, 0, 0.227726,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.1211799, 0, 1, 0, 0, 0.4514675, 1, 0, 0, 0, 0.5653313, 1, 0, 0, 0, 0.1673062, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1944532, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.1163632, 0, 0, 1, 0, 0.5656195, 1, 0, 0, 0, 0.4710268, 1, 0, 0, 0, 0.1564197, 0, 0, 1, 0, 0.5656238, 1, 0, 0, 0, 0.2121729, 1, 0, 0, 0, 0.4538105,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2013875, 0, 0, 1, 0, 0.2277253, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277257, 1, 0, 0, 0, 0.1622114, 0, 0, 1, 0, 0.2277261,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.1124585, 0, 1, 0, 0, 0.4414675, 1, 0, 0, 0, 0.5770661, 1, 0, 0, 0, 0.149938, 1, 0, 0, 0, 0.4658422, 1, 0, 0, 0, 0.1881355, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.1147359, 0, 0, 1, 0, 0.5656195, 1, 0, 0, 0, 0.4911768, 1, 0, 0, 0, 0.1509833, 0, 0, 1, 0, 0.5656238, 1, 0, 0, 0, 0.2075862, 1, 0, 0, 0, 0.4930283,1, 0, 0, 0, 0.1209666, 0, 0, 1, 0, 0.2012123, 0, 0, 1, 0, 0.2272891, 1, 0, 0, 0, 0.1943101, 0, 0, 1, 0, 0.2277379, 1, 0, 0, 0, 0.156377, 0, 0, 1, 0, 0.227726,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.1103752, 1, 0, 0, 0, 0.8862092, 1, 0, 0, 0, 0.5907334, 1, 0, 0, 0, 0.1415324, 1, 0, 0, 0, 0.4517665, 1, 0, 0, 0, 0.1818179, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4171417, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5000814, 1, 0, 0, 0, 0.1459133, 0, 0, 1, 0, 0.4995731, 0, 0, 1, 0, 0.5656196, 1, 0, 0, 0, 0.4775915,1, 0, 0, 0, 0.1103272, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.2161073, 1, 0, 0, 0, 0.1515583, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1505955, 0, 0, 1, 0, 0.227726,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.4153982, 1, 0, 0, 0, 0.8762091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1363845, 1, 0, 0, 0, 0.4424997, 1, 0, 0, 0, 0.1755003, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4124346, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5088952, 1, 0, 0, 0, 0.1408432, 0, 0, 1, 0, 0.5084589, 0, 0, 1, 0, 0.5656196, 1, 0, 0, 0, 0.4666684,1, 0, 0, 0, 0.1082211, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.2026791, 1, 0, 0, 0, 0.1364356, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1448665, 0, 0, 1, 0, 0.227726,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.4106572, 1, 0, 0, 0, 0.8662091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.131475, 1, 0, 0, 0, 0.4332695, 1, 0, 0, 0, 0.1691827, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4077276, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5190368, 1, 0, 0, 0, 0.1357732, 0, 0, 1, 0, 0.5656238, 0, 0, 1, 0, 0.5656196, 1, 0, 0, 0, 0.4570791,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1295399, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1391908, 0, 0, 1, 0, 0.2277261,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.4059165, 1, 0, 0, 0, 0.8562093, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1265655, 1, 0, 0, 0, 0.4240394, 1, 0, 0, 0, 0.1628651, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.4030206, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5291406, 1, 0, 0, 0, 0.1307032, 0, 0, 1, 0, 0.5656238, 0, 0, 1, 0, 0.5656196, 1, 0, 0, 0, 0.4522172,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1247026, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1335695, 0, 0, 1, 0, 0.2277261,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.4011756, 1, 0, 0, 0, 0.8462092, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1216559, 1, 0, 0, 0, 0.4148092, 1, 0, 0, 0, 0.1574022, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.3983135, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5365726, 1, 0, 0, 0, 0.1256332, 0, 0, 1, 0, 0.5656238, 0, 0, 1, 0, 0.5656196, 1, 0, 0, 0, 0.4604584,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277262, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.1198653, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1283998, 0, 0, 1, 0, 0.2177319,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.3964347, 1, 0, 0, 0, 0.8362091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1167464, 1, 0, 0, 0, 0.405579, 1, 0, 0, 0, 0.5282639, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.1132315, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5435916, 1, 0, 0, 0, 0.1205632, 1, 0, 0, 0, 0.4190267, 0, 0, 1, 0, 0.5656196, 0, 0, 1, 0, 0.565622,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277262, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.103845, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1408803, 0, 0, 1, 0, 0.2083201,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.1095679, 1, 0, 0, 0, 0.8262091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1118369, 1, 0, 0, 0, 0.3963489, 1, 0, 0, 0, 0.5219464, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.1072322, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5509797, 1, 0, 0, 0, 0.1154931, 1, 0, 0, 0, 0.4092936, 0, 0, 1, 0, 0.5656196, 0, 0, 1, 0, 0.565622,0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.0975379, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1349559, 0, 0, 1, 0, 0.2013861,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.1032619, 1, 0, 0, 0, 0.8162091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1069274, 1, 0, 0, 0, 0.3871189, 1, 0, 0, 0, 0.515629, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.1025248, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5607598, 1, 0, 0, 0, 0.1104231, 1, 0, 0, 0, 0.3997622, 1, 0, 0, 0, 0.562561, 0, 0, 1, 0, 0.565622,1, 0, 0, 0, 0.1072943, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.09328529, 0, 0, 1, 0, 0.227726, 1, 0, 0, 0, 0.1293047, 0, 0, 1, 0, 0.2277261,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.09852065, 1, 0, 0, 0, 0.8062091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.1020179, 1, 0, 0, 0, 0.3778888, 1, 0, 0, 0, 0.5093118, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.09781748, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5656232, 1, 0, 0, 0, 0.1053531, 1, 0, 0, 0, 0.3902306, 1, 0, 0, 0, 0.5556687, 0, 0, 1, 0, 0.565622,1, 0, 0, 0, 0.1009077, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277707, 1, 0, 0, 0, 0.08910222, 0, 0, 1, 0, 0.227726, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.0937794, 1, 0, 0, 0, 0.796209, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.09710832, 1, 0, 0, 0, 0.3686586, 1, 0, 0, 0, 0.5029944, 0, 0, 0, 1, 0,1, 0, 0, 0, 0.09311004, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5656239, 1, 0, 0, 0, 0.100283, 1, 0, 0, 0, 0.3806989, 1, 0, 0, 0, 0.5487763, 0, 0, 1, 0, 0.565622,1, 0, 0, 0, 0.09605159, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277258, 1, 0, 0, 0, 0.0850031, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.08903822, 1, 0, 0, 0, 0.7862091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.09219883, 1, 0, 0, 0, 0.3594285, 1, 0, 0, 0, 0.4966769, 0, 1, 0, 0, 0.5419416,1, 0, 0, 0, 0.08840269, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5656235, 1, 0, 0, 0, 0.09521302, 1, 0, 0, 0, 0.3711673, 1, 0, 0, 0, 0.5418841, 0, 0, 1, 0, 0.5656221,1, 0, 0, 0, 0.08141848, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277258, 1, 0, 0, 0, 0.08101005, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.08429696, 1, 0, 0, 0, 0.7762091, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.08728927, 1, 0, 0, 0, 0.3501983, 1, 0, 0, 0, 0.4903596, 0, 1, 0, 0, 0.5263134,1, 0, 0, 0, 0.08369528, 0, 0, 1, 0, 0.5656195, 0, 0, 1, 0, 0.5656233, 1, 0, 0, 0, 0.09014297, 1, 0, 0, 0, 0.3616357, 1, 0, 0, 0, 0.5349916, 0, 0, 1, 0, 0.5656221,1, 0, 0, 0, 0.07739328, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.07865141, 0, 0, 1, 0, 0.2277261, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261,3.531742,0,-1.87788,1
1, 0, 0, 0, 0.07955574, 1, 0, 0, 0, 0.7662092, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.08237976, 1, 0, 0, 0, 0.3409681, 1, 0, 0, 0, 0.4840423, 0, 1, 0, 0, 0.5137252,1, 0, 0, 0, 0.07898791, 0, 0, 1, 0, 0.5656196, 0, 0, 1, 0, 0.5656234, 1, 0, 0, 0, 0.08512491, 1, 0, 0, 0, 0.352104, 1, 0, 0, 0, 0.5280992, 0, 0, 1, 0, 0.5656221,1, 0, 0, 0, 0.07372858, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.08116724, 0, 0, 1, 0, 0.2172574, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261,3.531837,0,-1.87788,1
1, 0, 0, 0, 0.07481454, 1, 0, 0, 0, 0.7562092, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0.07749277, 1, 0, 0, 0, 0.331738, 1, 0, 0, 0, 0.4777249, 0, 1, 0, 0, 0.502375,1, 0, 0, 0, 0.07428055, 0, 0, 1, 0, 0.5656196, 0, 0, 1, 0, 0.5656234, 1, 0, 0, 0, 0.08549417, 1, 0, 0, 0, 0.3425725, 1, 0, 0, 0, 0.521207, 0, 0, 1, 0, 0.5656221,1, 0, 0, 0, 0.07043717, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277259, 1, 0, 0, 0, 0.07632998, 0, 0, 1, 0, 0.2054133, 0, 0, 1, 0, 0.227724, 0, 0, 1, 0, 0.2277261,3.531742,0,-1.87788,1
